Sequence	length	Acc	Organism
CM068577.1:5783533-5784438_1	302	CM068577.1	Aedes_albopictus
CM068577.1:58556034-58556939_1	302	CM068577.1	Aedes_albopictus
CM068578.1:116543590-116544495_1	302	CM068578.1	Aedes_albopictus
CM068578.1:162465839-162466744_1	302	CM068578.1	Aedes_albopictus
CM068578.1:213086668-213087573_1	41	CM068578.1	Aedes_albopictus
CM068578.1:213086668-213087573_2	135	CM068578.1	Aedes_albopictus
CM068578.1:213086668-213087573_3	111	CM068578.1	Aedes_albopictus
CM068578.1:229735457-229736362_1	302	CM068578.1	Aedes_albopictus
CM068578.1:350112463-350113368_1	252	CM068578.1	Aedes_albopictus
CM068578.1:514786081-514786986_1	302	CM068578.1	Aedes_albopictus
CM068579.1:136494406-136495311_1	302	CM068579.1	Aedes_albopictus
CM068579.1:158790946-158791851_1	237	CM068579.1	Aedes_albopictus
CM068579.1:4121379-4122284_1	302	CM068579.1	Aedes_albopictus
CM068579.1:435573723-435574628_1	302	CM068579.1	Aedes_albopictus
CM068579.1:78163250-78164155_1	302	CM068579.1	Aedes_albopictus
CM068579.1:308961411-308962315_1	111	CM068579.1	Aedes_albopictus
CM068579.1:308961411-308962315_2	140	CM068579.1	Aedes_albopictus
CM068579.1:308961411-308962315_3	25	CM068579.1	Aedes_albopictus
CM068578.1:310935377-310936279_1	301	CM068578.1	Aedes_albopictus
CM068578.1:313164647-313165549_1	301	CM068578.1	Aedes_albopictus
CM068579.1:27105830-27106732_1	301	CM068579.1	Aedes_albopictus
CM068577.1:148748099-148748998_1	300	CM068577.1	Aedes_albopictus
CM068577.1:298245164-298246063_1	300	CM068577.1	Aedes_albopictus
CM068578.1:112076022-112076921_1	300	CM068578.1	Aedes_albopictus
CM068578.1:171731304-171732203_1	300	CM068578.1	Aedes_albopictus
CM068578.1:254938017-254938916_1	300	CM068578.1	Aedes_albopictus
CM068578.1:410271769-410272668_1	300	CM068578.1	Aedes_albopictus
CM068579.1:10452063-10452962_1	300	CM068579.1	Aedes_albopictus
CM068579.1:138979380-138980279_1	300	CM068579.1	Aedes_albopictus
CM068579.1:232117330-232118229_1	300	CM068579.1	Aedes_albopictus
JAXRKM010000203.1:16590-17489_1	300	JAXRKM010000203.1	Aedes_albopictus
JAXRKM010000669.1:4178-5077_1	300	JAXRKM010000669.1	Aedes_albopictus
JAXRKM010000726.1:13792-14691_1	300	JAXRKM010000726.1	Aedes_albopictus
CM068577.1:180894275-180895171_1	288	CM068577.1	Aedes_albopictus
CM068578.1:167415641-167416537_1	299	CM068578.1	Aedes_albopictus
CM068579.1:201708365-201709261_1	299	CM068579.1	Aedes_albopictus
CM068577.1:107498736-107499631_1	185	CM068577.1	Aedes_albopictus
CM068577.1:145934165-145935058_1	298	CM068577.1	Aedes_albopictus
CM068577.1:222596236-222597129_1	298	CM068577.1	Aedes_albopictus
CM068577.1:237824540-237825433_1	298	CM068577.1	Aedes_albopictus
CM068577.1:330852674-330853567_1	118	CM068577.1	Aedes_albopictus
CM068577.1:330852674-330853567_2	101	CM068577.1	Aedes_albopictus
CM068577.1:333288168-333289061_1	298	CM068577.1	Aedes_albopictus
CM068578.1:386329156-386330049_1	81	CM068578.1	Aedes_albopictus
CM068578.1:386329156-386330049_2	73	CM068578.1	Aedes_albopictus
CM068579.1:117007008-117007901_1	298	CM068579.1	Aedes_albopictus
CM068579.1:261971660-261972553_1	298	CM068579.1	Aedes_albopictus
CM068579.1:339643626-339644519_1	298	CM068579.1	Aedes_albopictus
CM068579.1:37179033-37179926_1	298	CM068579.1	Aedes_albopictus
CM068577.1:153117535-153118425_1	297	CM068577.1	Aedes_albopictus
CM068577.1:78238748-78239638_1	297	CM068577.1	Aedes_albopictus
CM068579.1:372890027-372890917_1	297	CM068579.1	Aedes_albopictus
JAXRKM010000786.1:5406-6296_1	297	JAXRKM010000786.1	Aedes_albopictus
CM068578.1:265159899-265160786_1	296	CM068578.1	Aedes_albopictus
CM068578.1:338597783-338598670_1	296	CM068578.1	Aedes_albopictus
CM068578.1:341932799-341933686_1	248	CM068578.1	Aedes_albopictus
CM068578.1:400745055-400745942_1	296	CM068578.1	Aedes_albopictus
CM068578.1:76209837-76210724_1	296	CM068578.1	Aedes_albopictus
CM068579.1:225006198-225007085_1	58	CM068579.1	Aedes_albopictus
CM068579.1:225006198-225007085_2	203	CM068579.1	Aedes_albopictus
CM068579.1:25277-26164_1	296	CM068579.1	Aedes_albopictus
CM068579.1:91673437-91674324_1	296	CM068579.1	Aedes_albopictus
CM068578.1:101677334-101678218_1	295	CM068578.1	Aedes_albopictus
CM068579.1:304400511-304401395_1	108	CM068579.1	Aedes_albopictus
CM068579.1:304400511-304401395_2	182	CM068579.1	Aedes_albopictus
CM068578.1:230383608-230384489_1	294	CM068578.1	Aedes_albopictus
CM068577.1:277114685-277115563_1	293	CM068577.1	Aedes_albopictus
CM068579.1:278426702-278427580_1	293	CM068579.1	Aedes_albopictus
CM068577.1:51398402-51399277_1	292	CM068577.1	Aedes_albopictus
CM068578.1:130366026-130366901_1	292	CM068578.1	Aedes_albopictus
CM068578.1:248508250-248509125_1	292	CM068578.1	Aedes_albopictus
CM068578.1:286427366-286428241_1	292	CM068578.1	Aedes_albopictus
CM068579.1:249219069-249219944_1	32	CM068579.1	Aedes_albopictus
CM068579.1:249219069-249219944_2	99	CM068579.1	Aedes_albopictus
CM068579.1:249219069-249219944_3	78	CM068579.1	Aedes_albopictus
CM068579.1:335989232-335990107_1	292	CM068579.1	Aedes_albopictus
CM068577.1:6955133-6956005_1	291	CM068577.1	Aedes_albopictus
CM068577.1:89157884-89158756_1	291	CM068577.1	Aedes_albopictus
CM068578.1:405034927-405035799_1	291	CM068578.1	Aedes_albopictus
CM068577.1:205128418-205129287_1	290	CM068577.1	Aedes_albopictus
CM068577.1:226124907-226125776_1	290	CM068577.1	Aedes_albopictus
CM068579.1:205912945-205913814_1	290	CM068579.1	Aedes_albopictus
CM068577.1:108089856-108090722_1	289	CM068577.1	Aedes_albopictus
CM068577.1:175941200-175942066_1	289	CM068577.1	Aedes_albopictus
CM068578.1:389458165-389459031_1	289	CM068578.1	Aedes_albopictus
CM068579.1:195569087-195569953_1	289	CM068579.1	Aedes_albopictus
CM068577.1:132537977-132538840_1	49	CM068577.1	Aedes_albopictus
CM068577.1:132537977-132538840_2	238	CM068577.1	Aedes_albopictus
CM068578.1:339228076-339228939_1	288	CM068578.1	Aedes_albopictus
CM068578.1:364518239-364519102_1	288	CM068578.1	Aedes_albopictus
CM068579.1:214297733-214298596_1	288	CM068579.1	Aedes_albopictus
CM068579.1:23369335-23370198_1	46	CM068579.1	Aedes_albopictus
CM068579.1:23369335-23370198_2	232	CM068579.1	Aedes_albopictus
CM068579.1:339627122-339627985_1	288	CM068579.1	Aedes_albopictus
CM068579.1:408062721-408063584_1	288	CM068579.1	Aedes_albopictus
JAXRKM010000205.1:4887-5750_1	288	JAXRKM010000205.1	Aedes_albopictus
CM068577.1:224397859-224398719_1	287	CM068577.1	Aedes_albopictus
CM068577.1:64514922-64515782_1	287	CM068577.1	Aedes_albopictus
CM068578.1:267465399-267466259_1	287	CM068578.1	Aedes_albopictus
CM068578.1:272427548-272428408_1	96	CM068578.1	Aedes_albopictus
CM068578.1:272427548-272428408_2	130	CM068578.1	Aedes_albopictus
CM068579.1:259145342-259146202_1	287	CM068579.1	Aedes_albopictus
CM068578.1:270795701-270796560_1	154	CM068578.1	Aedes_albopictus
CM068578.1:270795701-270796560_2	122	CM068578.1	Aedes_albopictus
CM068577.1:178894613-178895470_1	286	CM068577.1	Aedes_albopictus
CM068579.1:126397837-126398694_1	286	CM068579.1	Aedes_albopictus
CM068579.1:373207808-373208663_1	137	CM068579.1	Aedes_albopictus
CM068579.1:373207808-373208663_2	161	CM068579.1	Aedes_albopictus
CM068577.1:177302704-177303558_1	59	CM068577.1	Aedes_albopictus
CM068577.1:177302704-177303558_2	103	CM068577.1	Aedes_albopictus
CM068577.1:177302704-177303558_3	41	CM068577.1	Aedes_albopictus
CM068577.1:278892750-278893604_1	285	CM068577.1	Aedes_albopictus
CM068578.1:101827470-101828324_1	285	CM068578.1	Aedes_albopictus
CM068578.1:278459150-278460004_1	285	CM068578.1	Aedes_albopictus
CM068579.1:317606111-317606965_1	285	CM068579.1	Aedes_albopictus
CM068579.1:407416925-407417779_1	285	CM068579.1	Aedes_albopictus
CM068579.1:127107257-127108110_1	150	CM068579.1	Aedes_albopictus
CM068579.1:177231048-177231899_1	284	CM068579.1	Aedes_albopictus
CM068579.1:297862853-297863704_1	284	CM068579.1	Aedes_albopictus
CM068579.1:306639286-306640137_1	284	CM068579.1	Aedes_albopictus
CM068578.1:266468980-266469828_1	283	CM068578.1	Aedes_albopictus
CM068578.1:497830145-497830993_1	283	CM068578.1	Aedes_albopictus
CM068577.1:246844275-246845120_1	244	CM068577.1	Aedes_albopictus
CM068578.1:250731860-250732705_1	282	CM068578.1	Aedes_albopictus
CM068578.1:293545891-293546736_1	282	CM068578.1	Aedes_albopictus
CM068578.1:408741482-408742327_1	282	CM068578.1	Aedes_albopictus
CM068579.1:158634879-158635724_1	124	CM068579.1	Aedes_albopictus
CM068579.1:158634879-158635724_2	47	CM068579.1	Aedes_albopictus
CM068579.1:158634879-158635724_3	81	CM068579.1	Aedes_albopictus
CM068579.1:299001801-299002646_1	282	CM068579.1	Aedes_albopictus
CM068577.1:192200291-192201133_1	281	CM068577.1	Aedes_albopictus
CM068577.1:245794095-245794937_1	250	CM068577.1	Aedes_albopictus
CM068579.1:10482950-10483792_1	281	CM068579.1	Aedes_albopictus
CM068579.1:192284370-192285212_1	281	CM068579.1	Aedes_albopictus
CM068577.1:53769956-53770795_1	122	CM068577.1	Aedes_albopictus
CM068577.1:53769956-53770795_2	125	CM068577.1	Aedes_albopictus
CM068578.1:268894398-268895237_1	280	CM068578.1	Aedes_albopictus
CM068577.1:90102022-90102860_1	101	CM068577.1	Aedes_albopictus
CM068577.1:90102022-90102860_2	180	CM068577.1	Aedes_albopictus
CM068577.1:221880866-221881703_1	91	CM068577.1	Aedes_albopictus
CM068577.1:221880866-221881703_2	176	CM068577.1	Aedes_albopictus
CM068577.1:154382098-154382934_1	279	CM068577.1	Aedes_albopictus
CM068578.1:421208671-421209507_1	279	CM068578.1	Aedes_albopictus
CM068579.1:210624425-210625261_1	279	CM068579.1	Aedes_albopictus
CM068579.1:302457147-302457983_1	271	CM068579.1	Aedes_albopictus
CM068579.1:210505671-210506504_1	278	CM068579.1	Aedes_albopictus
CM068579.1:385349257-385350090_1	278	CM068579.1	Aedes_albopictus
CM068579.1:76441188-76442021_1	247	CM068579.1	Aedes_albopictus
CM068579.1:76441188-76442021_2	30	CM068579.1	Aedes_albopictus
JAXRKM010000250.1:28314-29147_1	177	JAXRKM010000250.1	Aedes_albopictus
CM068577.1:175133181-175134011_1	50	CM068577.1	Aedes_albopictus
CM068577.1:175133181-175134011_2	201	CM068577.1	Aedes_albopictus
CM068577.1:175135253-175136083_1	201	CM068577.1	Aedes_albopictus
CM068577.1:201815187-201816017_1	277	CM068577.1	Aedes_albopictus
CM068578.1:454790379-454791209_1	126	CM068578.1	Aedes_albopictus
CM068578.1:454790379-454791209_2	148	CM068578.1	Aedes_albopictus
CM068578.1:234532325-234533152_1	276	CM068578.1	Aedes_albopictus
CM068578.1:313359886-313360713_1	276	CM068578.1	Aedes_albopictus
CM068579.1:98437462-98438289_1	254	CM068579.1	Aedes_albopictus
CM068577.1:112416759-112417583_1	275	CM068577.1	Aedes_albopictus
CM068577.1:167051347-167052171_1	275	CM068577.1	Aedes_albopictus
CM068578.1:249327274-249328098_1	275	CM068578.1	Aedes_albopictus
CM068578.1:56651469-56652293_1	275	CM068578.1	Aedes_albopictus
CM068579.1:254942900-254943724_1	275	CM068579.1	Aedes_albopictus
CM068578.1:259898439-259899260_1	274	CM068578.1	Aedes_albopictus
CM068579.1:321577132-321577953_1	274	CM068579.1	Aedes_albopictus
CM068577.1:322842442-322843260_1	273	CM068577.1	Aedes_albopictus
CM068577.1:48261843-48262661_1	37	CM068577.1	Aedes_albopictus
CM068577.1:48261843-48262661_2	231	CM068577.1	Aedes_albopictus
CM068578.1:145977798-145978616_1	273	CM068578.1	Aedes_albopictus
CM068579.1:171990256-171991074_1	273	CM068579.1	Aedes_albopictus
JAXRKM010000820.1:7380-8198_1	273	JAXRKM010000820.1	Aedes_albopictus
CM068577.1:337756970-337757787_1	210	CM068577.1	Aedes_albopictus
CM068577.1:337756970-337757787_2	80	CM068577.1	Aedes_albopictus
CM068579.1:160470579-160471396_1	176	CM068579.1	Aedes_albopictus
CM068579.1:160470579-160471396_2	81	CM068579.1	Aedes_albopictus
CM068577.1:101653305-101654120_1	272	CM068577.1	Aedes_albopictus
CM068577.1:217418302-217419117_1	272	CM068577.1	Aedes_albopictus
CM068577.1:111370232-111371044_1	271	CM068577.1	Aedes_albopictus
CM068577.1:180591283-180592095_1	271	CM068577.1	Aedes_albopictus
CM068578.1:193868192-193869004_1	271	CM068578.1	Aedes_albopictus
CM068578.1:273756455-273757267_1	271	CM068578.1	Aedes_albopictus
CM068578.1:408622809-408623621_1	183	CM068578.1	Aedes_albopictus
CM068578.1:408622809-408623621_2	71	CM068578.1	Aedes_albopictus
CM068578.1:445475158-445475970_1	271	CM068578.1	Aedes_albopictus
CM068578.1:372823264-372824073_1	270	CM068578.1	Aedes_albopictus
CM068578.1:418363926-418364735_1	266	CM068578.1	Aedes_albopictus
CM068579.1:215752520-215753329_1	270	CM068579.1	Aedes_albopictus
CM068579.1:108428384-108429191_1	67	CM068579.1	Aedes_albopictus
CM068577.1:173000262-173001068_1	269	CM068577.1	Aedes_albopictus
CM068577.1:182432334-182433140_1	269	CM068577.1	Aedes_albopictus
CM068577.1:58538774-58539580_1	269	CM068577.1	Aedes_albopictus
CM068578.1:277089434-277090240_1	269	CM068578.1	Aedes_albopictus
CM068578.1:355241351-355242157_1	242	CM068578.1	Aedes_albopictus
CM068578.1:501239279-501240085_1	269	CM068578.1	Aedes_albopictus
CM068579.1:80928298-80929104_1	269	CM068579.1	Aedes_albopictus
CM068577.1:63855780-63856584_1	120	CM068577.1	Aedes_albopictus
CM068577.1:63855780-63856584_2	98	CM068577.1	Aedes_albopictus
CM068577.1:139980882-139981685_1	268	CM068577.1	Aedes_albopictus
CM068577.1:176253391-176254194_1	268	CM068577.1	Aedes_albopictus
CM068579.1:354921683-354922486_1	268	CM068579.1	Aedes_albopictus
CM068579.1:58135608-58136411_1	268	CM068579.1	Aedes_albopictus
CM068577.1:184237681-184238481_1	267	CM068577.1	Aedes_albopictus
CM068577.1:298302619-298303419_1	267	CM068577.1	Aedes_albopictus
CM068578.1:363790504-363791304_1	267	CM068578.1	Aedes_albopictus
CM068579.1:357117165-357117965_1	259	CM068579.1	Aedes_albopictus
CM068577.1:258851910-258852707_1	266	CM068577.1	Aedes_albopictus
CM068578.1:277225973-277226770_1	266	CM068578.1	Aedes_albopictus
CM068579.1:23367802-23368599_1	266	CM068579.1	Aedes_albopictus
CM068579.1:38746880-38747677_1	266	CM068579.1	Aedes_albopictus
CM068579.1:405808299-405809096_1	266	CM068579.1	Aedes_albopictus
CM068577.1:309248771-309249566_1	215	CM068577.1	Aedes_albopictus
CM068578.1:22427505-22428299_1	114	CM068578.1	Aedes_albopictus
CM068578.1:22427505-22428299_2	113	CM068578.1	Aedes_albopictus
CM068578.1:254795296-254796090_1	265	CM068578.1	Aedes_albopictus
CM068578.1:269621674-269622468_1	265	CM068578.1	Aedes_albopictus
CM068578.1:297178764-297179558_1	215	CM068578.1	Aedes_albopictus
CM068579.1:245837078-245837872_1	265	CM068579.1	Aedes_albopictus
CM068577.1:163768037-163768828_1	216	CM068577.1	Aedes_albopictus
CM068578.1:160316393-160317184_1	264	CM068578.1	Aedes_albopictus
CM068578.1:273042166-273042957_1	264	CM068578.1	Aedes_albopictus
CM068578.1:274157558-274158349_1	224	CM068578.1	Aedes_albopictus
CM068578.1:34248707-34249498_1	264	CM068578.1	Aedes_albopictus
CM068579.1:208640263-208641052_1	147	CM068579.1	Aedes_albopictus
CM068579.1:208640263-208641052_2	127	CM068579.1	Aedes_albopictus
CM068577.1:172849620-172850408_1	176	CM068577.1	Aedes_albopictus
CM068577.1:182431081-182431869_1	138	CM068577.1	Aedes_albopictus
CM068577.1:182431081-182431869_2	109	CM068577.1	Aedes_albopictus
CM068577.1:211984250-211985038_1	250	CM068577.1	Aedes_albopictus
CM068578.1:279105717-279106502_1	119	CM068578.1	Aedes_albopictus
CM068578.1:279105717-279106502_2	126	CM068578.1	Aedes_albopictus
CM068578.1:412315237-412316022_1	262	CM068578.1	Aedes_albopictus
CM068577.1:219324058-219324840_1	240	CM068577.1	Aedes_albopictus
CM068578.1:175971758-175972540_1	261	CM068578.1	Aedes_albopictus
CM068578.1:278633748-278634530_1	261	CM068578.1	Aedes_albopictus
CM068578.1:278643952-278644734_1	261	CM068578.1	Aedes_albopictus
CM068579.1:303906605-303907387_1	226	CM068579.1	Aedes_albopictus
CM068579.1:74661895-74662677_1	261	CM068579.1	Aedes_albopictus
CM068577.1:152667295-152668074_1	179	CM068577.1	Aedes_albopictus
CM068577.1:177101517-177102296_1	260	CM068577.1	Aedes_albopictus
CM068577.1:178533580-178534359_1	260	CM068577.1	Aedes_albopictus
CM068577.1:35329153-35329932_1	84	CM068577.1	Aedes_albopictus
CM068577.1:35329153-35329932_2	142	CM068577.1	Aedes_albopictus
CM068577.1:12326508-12327284_1	259	CM068577.1	Aedes_albopictus
CM068578.1:405044700-405045476_1	259	CM068578.1	Aedes_albopictus
CM068579.1:103561855-103562631_1	259	CM068579.1	Aedes_albopictus
CM068578.1:249436568-249437341_1	258	CM068578.1	Aedes_albopictus
CM068579.1:7283399-7284172_1	211	CM068579.1	Aedes_albopictus
CM068577.1:174898778-174899548_1	110	CM068577.1	Aedes_albopictus
CM068577.1:180066088-180066858_1	257	CM068577.1	Aedes_albopictus
CM068577.1:184655886-184656656_1	257	CM068577.1	Aedes_albopictus
CM068578.1:346206486-346207256_1	257	CM068578.1	Aedes_albopictus
CM068577.1:135113733-135114500_1	256	CM068577.1	Aedes_albopictus
CM068578.1:277727616-277728383_1	256	CM068578.1	Aedes_albopictus
CM068579.1:248599834-248600601_1	256	CM068579.1	Aedes_albopictus
CM068577.1:192887920-192888684_1	255	CM068577.1	Aedes_albopictus
CM068578.1:205525922-205526686_1	255	CM068578.1	Aedes_albopictus
CM068578.1:361797895-361798659_1	50	CM068578.1	Aedes_albopictus
CM068578.1:361797895-361798659_2	124	CM068578.1	Aedes_albopictus
CM068579.1:276864338-276865102_1	255	CM068579.1	Aedes_albopictus
CM068578.1:323292873-323293634_1	33	CM068578.1	Aedes_albopictus
CM068578.1:323292873-323293634_2	107	CM068578.1	Aedes_albopictus
CM068578.1:426676837-426677598_1	254	CM068578.1	Aedes_albopictus
CM068578.1:45164626-45165387_1	254	CM068578.1	Aedes_albopictus
CM068578.1:46163802-46164563_1	254	CM068578.1	Aedes_albopictus
CM068577.1:116431211-116431969_1	162	CM068577.1	Aedes_albopictus
CM068577.1:116431211-116431969_2	53	CM068577.1	Aedes_albopictus
CM068577.1:124335975-124336733_1	253	CM068577.1	Aedes_albopictus
CM068577.1:174635859-174636617_1	253	CM068577.1	Aedes_albopictus
CM068577.1:174666036-174666794_1	253	CM068577.1	Aedes_albopictus
CM068577.1:176925544-176926302_1	214	CM068577.1	Aedes_albopictus
CM068578.1:409001741-409002499_1	253	CM068578.1	Aedes_albopictus
CM068579.1:111687349-111688107_1	253	CM068579.1	Aedes_albopictus
CM068579.1:113177283-113178041_1	253	CM068579.1	Aedes_albopictus
CM068579.1:173175057-173175815_1	253	CM068579.1	Aedes_albopictus
CM068579.1:28017762-28018520_1	141	CM068579.1	Aedes_albopictus
CM068579.1:28017762-28018520_2	76	CM068579.1	Aedes_albopictus
CM068577.1:224753557-224754312_1	181	CM068577.1	Aedes_albopictus
CM068577.1:270668588-270669343_1	252	CM068577.1	Aedes_albopictus
CM068578.1:343531965-343532720_1	252	CM068578.1	Aedes_albopictus
CM068579.1:334314425-334315180_1	252	CM068579.1	Aedes_albopictus
CM068579.1:355778119-355778874_1	58	CM068579.1	Aedes_albopictus
CM068579.1:355778119-355778874_2	187	CM068579.1	Aedes_albopictus
CM068579.1:92163686-92164441_1	49	CM068579.1	Aedes_albopictus
CM068579.1:92163686-92164441_2	165	CM068579.1	Aedes_albopictus
CM068577.1:67515674-67516426_1	228	CM068577.1	Aedes_albopictus
CM068578.1:112071302-112072054_1	251	CM068578.1	Aedes_albopictus
CM068578.1:380194178-380194930_1	251	CM068578.1	Aedes_albopictus
CM068578.1:359987901-359988651_1	106	CM068578.1	Aedes_albopictus
CM068578.1:359987901-359988651_2	161	CM068578.1	Aedes_albopictus
CM068577.1:207601215-207601964_1	200	CM068577.1	Aedes_albopictus
CM068577.1:207601215-207601964_2	32	CM068577.1	Aedes_albopictus
CM068578.1:266157997-266158746_1	250	CM068578.1	Aedes_albopictus
CM068578.1:272578732-272579481_1	99	CM068578.1	Aedes_albopictus
CM068578.1:272578732-272579481_2	79	CM068578.1	Aedes_albopictus
CM068578.1:73769049-73769798_1	250	CM068578.1	Aedes_albopictus
CM068577.1:154880352-154881098_1	198	CM068577.1	Aedes_albopictus
CM068577.1:170480976-170481722_1	249	CM068577.1	Aedes_albopictus
CM068577.1:183625952-183626698_1	136	CM068577.1	Aedes_albopictus
CM068577.1:183625952-183626698_2	93	CM068577.1	Aedes_albopictus
CM068577.1:225273333-225274079_1	249	CM068577.1	Aedes_albopictus
CM068577.1:71776308-71777054_1	249	CM068577.1	Aedes_albopictus
CM068578.1:259600365-259601111_1	249	CM068578.1	Aedes_albopictus
CM068577.1:204153176-204153919_1	242	CM068577.1	Aedes_albopictus
CM068577.1:261793847-261794590_1	248	CM068577.1	Aedes_albopictus
CM068578.1:112289287-112290030_1	248	CM068578.1	Aedes_albopictus
CM068578.1:170255580-170256323_1	218	CM068578.1	Aedes_albopictus
CM068578.1:263900246-263900989_1	248	CM068578.1	Aedes_albopictus
CM068578.1:337734838-337735581_1	248	CM068578.1	Aedes_albopictus
CM068579.1:102453063-102453806_1	248	CM068579.1	Aedes_albopictus
CM068579.1:124322830-124323573_1	248	CM068579.1	Aedes_albopictus
CM068579.1:226337069-226337812_1	248	CM068579.1	Aedes_albopictus
CM068577.1:243790093-243790833_1	247	CM068577.1	Aedes_albopictus
CM068577.1:337404335-337405075_1	247	CM068577.1	Aedes_albopictus
CM068578.1:336040807-336041547_1	240	CM068578.1	Aedes_albopictus
CM068579.1:133861392-133862132_1	247	CM068579.1	Aedes_albopictus
CM068579.1:214431652-214432392_1	247	CM068579.1	Aedes_albopictus
CM068579.1:37203026-37203766_1	247	CM068579.1	Aedes_albopictus
CM068579.1:211429822-211430561_1	181	CM068579.1	Aedes_albopictus
CM068577.1:74213370-74214107_1	183	CM068577.1	Aedes_albopictus
CM068577.1:134848571-134849305_1	245	CM068577.1	Aedes_albopictus
CM068577.1:335462783-335463517_1	245	CM068577.1	Aedes_albopictus
CM068578.1:113138989-113139723_1	245	CM068578.1	Aedes_albopictus
CM068578.1:267545573-267546307_1	245	CM068578.1	Aedes_albopictus
CM068578.1:275308844-275309578_1	245	CM068578.1	Aedes_albopictus
CM068578.1:383789550-383790284_1	178	CM068578.1	Aedes_albopictus
CM068578.1:508812970-508813704_1	245	CM068578.1	Aedes_albopictus
CM068579.1:218624462-218625196_1	245	CM068579.1	Aedes_albopictus
CM068579.1:88025737-88026471_1	127	CM068579.1	Aedes_albopictus
CM068577.1:139731462-139732193_1	244	CM068577.1	Aedes_albopictus
CM068577.1:174430720-174431451_1	244	CM068577.1	Aedes_albopictus
CM068577.1:174806171-174806902_1	244	CM068577.1	Aedes_albopictus
CM068577.1:223445884-223446615_1	244	CM068577.1	Aedes_albopictus
CM068578.1:156825074-156825805_1	163	CM068578.1	Aedes_albopictus
CM068578.1:156825074-156825805_2	76	CM068578.1	Aedes_albopictus
CM068578.1:166434313-166435044_1	244	CM068578.1	Aedes_albopictus
CM068578.1:214325369-214326100_1	244	CM068578.1	Aedes_albopictus
CM068578.1:318960404-318961135_1	244	CM068578.1	Aedes_albopictus
CM068578.1:418654140-418654871_1	244	CM068578.1	Aedes_albopictus
CM068579.1:108532784-108533515_1	244	CM068579.1	Aedes_albopictus
CM068579.1:204770539-204771270_1	244	CM068579.1	Aedes_albopictus
CM068579.1:215770127-215770858_1	147	CM068579.1	Aedes_albopictus
CM068579.1:254951302-254952033_1	244	CM068579.1	Aedes_albopictus
CM068579.1:265071052-265071783_1	244	CM068579.1	Aedes_albopictus
CM068579.1:330861202-330861933_1	244	CM068579.1	Aedes_albopictus
CM068577.1:124332718-124333446_1	243	CM068577.1	Aedes_albopictus
CM068577.1:175967688-175968416_1	243	CM068577.1	Aedes_albopictus
CM068578.1:269780318-269781046_1	243	CM068578.1	Aedes_albopictus
CM068578.1:483752103-483752831_1	243	CM068578.1	Aedes_albopictus
CM068579.1:213086167-213086895_1	243	CM068579.1	Aedes_albopictus
CM068577.1:79041843-79042568_1	35	CM068577.1	Aedes_albopictus
CM068577.1:79041843-79042568_2	178	CM068577.1	Aedes_albopictus
CM068579.1:390226287-390227012_1	242	CM068579.1	Aedes_albopictus
CM068579.1:402372648-402373373_1	242	CM068579.1	Aedes_albopictus
CM068579.1:55756814-55757539_1	171	CM068579.1	Aedes_albopictus
CM068579.1:55756814-55757539_2	67	CM068579.1	Aedes_albopictus
CM068578.1:189227542-189228266_1	135	CM068578.1	Aedes_albopictus
CM068578.1:189227542-189228266_2	93	CM068578.1	Aedes_albopictus
CM068577.1:252045312-252046034_1	241	CM068577.1	Aedes_albopictus
CM068578.1:179829336-179830058_1	241	CM068578.1	Aedes_albopictus
CM068579.1:208445097-208445819_1	97	CM068579.1	Aedes_albopictus
CM068579.1:208445097-208445819_2	91	CM068579.1	Aedes_albopictus
CM068577.1:54228114-54228834_1	147	CM068577.1	Aedes_albopictus
CM068577.1:54228114-54228834_2	97	CM068577.1	Aedes_albopictus
CM068577.1:180430806-180431525_1	240	CM068577.1	Aedes_albopictus
CM068577.1:261537417-261538136_1	240	CM068577.1	Aedes_albopictus
CM068578.1:188224731-188225450_1	102	CM068578.1	Aedes_albopictus
CM068578.1:188224731-188225450_2	136	CM068578.1	Aedes_albopictus
CM068578.1:224278774-224279493_1	83	CM068578.1	Aedes_albopictus
CM068578.1:224278774-224279493_2	80	CM068578.1	Aedes_albopictus
CM068578.1:418416812-418417531_1	240	CM068578.1	Aedes_albopictus
CM068579.1:210516689-210517408_1	240	CM068579.1	Aedes_albopictus
CM068579.1:246727491-246728210_1	240	CM068579.1	Aedes_albopictus
CM068577.1:245002081-245002797_1	234	CM068577.1	Aedes_albopictus
CM068578.1:197328330-197329046_1	239	CM068578.1	Aedes_albopictus
CM068578.1:43059193-43059909_1	239	CM068578.1	Aedes_albopictus
CM068579.1:415255367-415256083_1	239	CM068579.1	Aedes_albopictus
CM068577.1:83445054-83445767_1	238	CM068577.1	Aedes_albopictus
CM068578.1:278214417-278215130_1	238	CM068578.1	Aedes_albopictus
CM068578.1:299062731-299063444_1	238	CM068578.1	Aedes_albopictus
CM068578.1:306823758-306824471_1	238	CM068578.1	Aedes_albopictus
CM068578.1:513534087-513534800_1	238	CM068578.1	Aedes_albopictus
CM068579.1:68682472-68683185_1	238	CM068579.1	Aedes_albopictus
CM068577.1:259503065-259503777_1	157	CM068577.1	Aedes_albopictus
CM068579.1:208448631-208449343_1	177	CM068579.1	Aedes_albopictus
CM068577.1:181407304-181408015_1	114	CM068577.1	Aedes_albopictus
