Sequence,length,Acc,Organism
NW_018736247.1:69141-71222|Metaviridae|Metavirus|Cladosporium_2,219,NW_018736247.1,Aedes_aegypti
NW_018736267.1:3302-4993|Metaviridae|Metavirus|Cladosporium_1,558,NW_018736267.1,Aedes_aegypti
NW_018736280.1:87702-87926|Metaviridae|Metavirus|Cladosporium_1,75,NW_018736280.1,Aedes_aegypti
NW_018736280.1:115222-117383|Metaviridae|Metavirus|Cladosporium_1,574,NW_018736280.1,Aedes_aegypti
NW_018736280.1:115222-117383|Metaviridae|Metavirus|Cladosporium_2,141,NW_018736280.1,Aedes_aegypti
NW_018736280.1:401127-403149|Metaviridae|Metavirus|Cladosporium_1,321,NW_018736280.1,Aedes_aegypti
NW_018736280.1:401127-403149|Metaviridae|Metavirus|Cladosporium_2,297,NW_018736280.1,Aedes_aegypti
NW_018736357.1:18394-20322|Metaviridae|Metavirus|Cladosporium_1,456,NW_018736357.1,Aedes_aegypti
NW_018736357.1:18394-20322|Metaviridae|Metavirus|Cladosporium_2,76,NW_018736357.1,Aedes_aegypti
NW_018736397.1:1609-3795|Metaviridae|Metavirus|Cladosporium_1,729,NW_018736397.1,Aedes_aegypti
NW_018736399.1:9595-11754|Metaviridae|Metavirus|Cladosporium_1,720,NW_018736399.1,Aedes_aegypti
NW_018736424.1:6602-8270|Metaviridae|Metavirus|Cladosporium_1,447,NW_018736424.1,Aedes_aegypti
NW_018736448.1:145302-147461|Metaviridae|Metavirus|Cladosporium_1,720,NW_018736448.1,Aedes_aegypti
NW_018736479.1:15526-15762|Metaviridae|Metavirus|Cladosporium_1,63,NW_018736479.1,Aedes_aegypti
NW_018736480.1:26148-27506|Metaviridae|Metavirus|Cladosporium_1,453,NW_018736480.1,Aedes_aegypti
NW_018736499.1:34301-36373|Metaviridae|Metavirus|Cladosporium_1,677,NW_018736499.1,Aedes_aegypti
NW_018736570.1:15500-17629|Metaviridae|Metavirus|Cladosporium_1,710,NW_018736570.1,Aedes_aegypti
NW_018736643.1:25969-28155|Metaviridae|Metavirus|Cladosporium_1,729,NW_018736643.1,Aedes_aegypti
NW_018736645.1:44256-45875|Metaviridae|Metavirus|Cladosporium_1,221,NW_018736645.1,Aedes_aegypti
NW_018736645.1:44256-45875|Metaviridae|Metavirus|Cladosporium_2,292,NW_018736645.1,Aedes_aegypti
NW_018736662.1:16005-17291|Metaviridae|Metavirus|Cladosporium_1,429,NW_018736662.1,Aedes_aegypti
NW_018736665.1:22270-22704|Metaviridae|Metavirus|Cladosporium_1,145,NW_018736665.1,Aedes_aegypti
NW_018736689.1:10937-13102|Metaviridae|Metavirus|Cladosporium_1,722,NW_018736689.1,Aedes_aegypti
NW_018736690.1:31355-31477|Metaviridae|Metavirus|Cladosporium_1,41,NW_018736690.1,Aedes_aegypti
CM068577.1:322046-324160|Metaviridae|Metavirus|Cladosporium_1,705,CM068577.1,Aedes_albopictus
CM068577.1:2510504-2510686|Metaviridae|Metavirus|Cladosporium_1,61,CM068577.1,Aedes_albopictus
CM068577.1:5945542-5947410|Metaviridae|Metavirus|Cladosporium_1,618,CM068577.1,Aedes_albopictus
CM068577.1:7831841-7832188|Metaviridae|Metavirus|Cladosporium_1,106,CM068577.1,Aedes_albopictus
CM068577.1:9094670-9096895|Metaviridae|Metavirus|Cladosporium_1,742,CM068577.1,Aedes_albopictus
CM068577.1:11208999-11211098|Metaviridae|Metavirus|Cladosporium_1,700,CM068577.1,Aedes_albopictus
CM068577.1:14903470-14903646|Metaviridae|Metavirus|Cladosporium_1,36,CM068577.1,Aedes_albopictus
CM068577.1:18902438-18904474|Metaviridae|Metavirus|Cladosporium_1,679,CM068577.1,Aedes_albopictus
CM068577.1:19447720-19449759|Metaviridae|Metavirus|Cladosporium_1,680,CM068577.1,Aedes_albopictus
CM068577.1:19710269-19712095|Metaviridae|Metavirus|Cladosporium_1,609,CM068577.1,Aedes_albopictus
CM068577.1:21414646-21416616|Metaviridae|Metavirus|Cladosporium_1,657,CM068577.1,Aedes_albopictus
CM068577.1:24651902-24652519|Metaviridae|Metavirus|Cladosporium_1,206,CM068577.1,Aedes_albopictus
CM068577.1:25430076-25431530|Metaviridae|Metavirus|Cladosporium_1,485,CM068577.1,Aedes_albopictus
CM068577.1:25739587-25741680|Metaviridae|Metavirus|Cladosporium_1,698,CM068577.1,Aedes_albopictus
CM068577.1:29571512-29571745|Metaviridae|Metavirus|Cladosporium_1,78,CM068577.1,Aedes_albopictus
CM068577.1:29930775-29931011|Metaviridae|Metavirus|Cladosporium_1,79,CM068577.1,Aedes_albopictus
CM068577.1:30662902-30664266|Metaviridae|Metavirus|Cladosporium_1,226,CM068577.1,Aedes_albopictus
CM068577.1:30662902-30664266|Metaviridae|Metavirus|Cladosporium_2,195,CM068577.1,Aedes_albopictus
CM068577.1:34568110-34568568|Metaviridae|Metavirus|Cladosporium_1,47,CM068577.1,Aedes_albopictus
CM068577.1:34568110-34568568|Metaviridae|Metavirus|Cladosporium_2,49,CM068577.1,Aedes_albopictus
CM068577.1:40646462-40648549|Metaviridae|Metavirus|Cladosporium_1,696,CM068577.1,Aedes_albopictus
CM068577.1:42155735-42156844|Metaviridae|Metavirus|Cladosporium_1,370,CM068577.1,Aedes_albopictus
CM068577.1:43957530-43959041|Metaviridae|Metavirus|Cladosporium_1,504,CM068577.1,Aedes_albopictus
CM068577.1:44546055-44546645|Metaviridae|Metavirus|Cladosporium_1,197,CM068577.1,Aedes_albopictus
CM068577.1:44590376-44592451|Metaviridae|Metavirus|Cladosporium_1,692,CM068577.1,Aedes_albopictus
CM068577.1:45154079-45154687|Metaviridae|Metavirus|Cladosporium_1,155,CM068577.1,Aedes_albopictus
CM068577.1:47047162-47047944|Metaviridae|Metavirus|Cladosporium_1,261,CM068577.1,Aedes_albopictus
CM068577.1:50760748-50761767|Metaviridae|Metavirus|Cladosporium_1,340,CM068577.1,Aedes_albopictus
CM068577.1:51116050-51118224|Metaviridae|Metavirus|Cladosporium_1,725,CM068577.1,Aedes_albopictus
CM068577.1:52862337-52864403|Metaviridae|Metavirus|Cladosporium_1,689,CM068577.1,Aedes_albopictus
CM068577.1:53808888-53809685|Metaviridae|Metavirus|Cladosporium_1,266,CM068577.1,Aedes_albopictus
CM068577.1:53996524-53997342|Metaviridae|Metavirus|Cladosporium_1,211,CM068577.1,Aedes_albopictus
CM068577.1:53996524-53997342|Metaviridae|Metavirus|Cladosporium_2,39,CM068577.1,Aedes_albopictus
CM068577.1:56667023-56669176|Metaviridae|Metavirus|Cladosporium_1,718,CM068577.1,Aedes_albopictus
CM068577.1:57323290-57325353|Metaviridae|Metavirus|Cladosporium_1,688,CM068577.1,Aedes_albopictus
CM068577.1:60974435-60974605|Metaviridae|Metavirus|Cladosporium_1,57,CM068577.1,Aedes_albopictus
CM068577.1:61652806-61653096|Metaviridae|Metavirus|Cladosporium_1,97,CM068577.1,Aedes_albopictus
CM068577.1:63693229-63693912|Metaviridae|Metavirus|Cladosporium_1,228,CM068577.1,Aedes_albopictus
CM068577.1:67444588-67446747|Metaviridae|Metavirus|Cladosporium_1,720,CM068577.1,Aedes_albopictus
CM068577.1:71372839-71374524|Metaviridae|Metavirus|Cladosporium_1,562,CM068577.1,Aedes_albopictus
CM068577.1:71704353-71704535|Metaviridae|Metavirus|Cladosporium_1,61,CM068577.1,Aedes_albopictus
CM068577.1:72231454-72231849|Metaviridae|Metavirus|Cladosporium_1,132,CM068577.1,Aedes_albopictus
CM068577.1:72655817-72657826|Metaviridae|Metavirus|Cladosporium_1,670,CM068577.1,Aedes_albopictus
CM068577.1:74584774-74585076|Metaviridae|Metavirus|Cladosporium_1,101,CM068577.1,Aedes_albopictus
CM068577.1:76782839-76783054|Metaviridae|Metavirus|Cladosporium_1,72,CM068577.1,Aedes_albopictus
CM068577.1:80128204-80130363|Metaviridae|Metavirus|Cladosporium_1,720,CM068577.1,Aedes_albopictus
CM068577.1:84581903-84582079|Metaviridae|Metavirus|Cladosporium_1,59,CM068577.1,Aedes_albopictus
CM068577.1:86216688-86218835|Metaviridae|Metavirus|Cladosporium_1,716,CM068577.1,Aedes_albopictus
CM068577.1:88190217-88192364|Metaviridae|Metavirus|Cladosporium_1,716,CM068577.1,Aedes_albopictus
CM068577.1:89060247-89061083|Metaviridae|Metavirus|Cladosporium_1,279,CM068577.1,Aedes_albopictus
CM068577.1:89269754-89271535|Metaviridae|Metavirus|Cladosporium_1,594,CM068577.1,Aedes_albopictus
CM068577.1:89824297-89824800|Metaviridae|Metavirus|Cladosporium_1,168,CM068577.1,Aedes_albopictus
CM068577.1:91346820-91348718|Metaviridae|Metavirus|Cladosporium_1,633,CM068577.1,Aedes_albopictus
CM068577.1:91348730-91349008|Metaviridae|Metavirus|Cladosporium_1,93,CM068577.1,Aedes_albopictus
CM068577.1:92697560-92697742|Metaviridae|Metavirus|Cladosporium_1,61,CM068577.1,Aedes_albopictus
CM068577.1:92798515-92800590|Metaviridae|Metavirus|Cladosporium_1,692,CM068577.1,Aedes_albopictus
CM068577.1:93816409-93818514|Metaviridae|Metavirus|Cladosporium_1,702,CM068577.1,Aedes_albopictus
CM068577.1:96228981-96231131|Metaviridae|Metavirus|Cladosporium_1,717,CM068577.1,Aedes_albopictus
CM068577.1:98224299-98224937|Metaviridae|Metavirus|Cladosporium_1,213,CM068577.1,Aedes_albopictus
CM068577.1:100126009-100126242|Metaviridae|Metavirus|Cladosporium_1,78,CM068577.1,Aedes_albopictus
CM068577.1:100454600-100456276|Metaviridae|Metavirus|Cladosporium_1,559,CM068577.1,Aedes_albopictus
CM068577.1:100867282-100868391|Metaviridae|Metavirus|Cladosporium_1,370,CM068577.1,Aedes_albopictus
CM068577.1:102858756-102859823|Metaviridae|Metavirus|Cladosporium_1,356,CM068577.1,Aedes_albopictus
CM068577.1:102925183-102927327|Metaviridae|Metavirus|Cladosporium_1,715,CM068577.1,Aedes_albopictus
CM068577.1:103104181-103106337|Metaviridae|Metavirus|Cladosporium_1,719,CM068577.1,Aedes_albopictus
CM068577.1:104532610-104533716|Metaviridae|Metavirus|Cladosporium_1,369,CM068577.1,Aedes_albopictus
CM068577.1:107304697-107306856|Metaviridae|Metavirus|Cladosporium_1,720,CM068577.1,Aedes_albopictus
CM068577.1:107653300-107655243|Metaviridae|Metavirus|Cladosporium_1,648,CM068577.1,Aedes_albopictus
CM068577.1:109435275-109435784|Metaviridae|Metavirus|Cladosporium_1,170,CM068577.1,Aedes_albopictus
CM068577.1:109643715-109645874|Metaviridae|Metavirus|Cladosporium_1,720,CM068577.1,Aedes_albopictus
CM068577.1:110014848-110016992|Metaviridae|Metavirus|Cladosporium_1,715,CM068577.1,Aedes_albopictus
CM068577.1:110310333-110311439|Metaviridae|Metavirus|Cladosporium_1,369,CM068577.1,Aedes_albopictus
CM068577.1:112438225-112440378|Metaviridae|Metavirus|Cladosporium_1,718,CM068577.1,Aedes_albopictus
CM068577.1:114879290-114881482|Metaviridae|Metavirus|Cladosporium_1,731,CM068577.1,Aedes_albopictus
CM068577.1:114915682-114917769|Metaviridae|Metavirus|Cladosporium_1,696,CM068577.1,Aedes_albopictus
CM068577.1:116244550-116246610|Metaviridae|Metavirus|Cladosporium_1,687,CM068577.1,Aedes_albopictus
CM068577.1:116992028-116992195|Metaviridae|Metavirus|Cladosporium_1,56,CM068577.1,Aedes_albopictus
CM068577.1:117679865-117681961|Metaviridae|Metavirus|Cladosporium_1,699,CM068577.1,Aedes_albopictus
CM068577.1:123346810-123348891|Metaviridae|Metavirus|Cladosporium_1,694,CM068577.1,Aedes_albopictus
CM068577.1:123908357-123910711|Metaviridae|Metavirus|Cladosporium_1,785,CM068577.1,Aedes_albopictus
CM068577.1:124964902-124967115|Metaviridae|Metavirus|Cladosporium_1,738,CM068577.1,Aedes_albopictus
CM068577.1:126183090-126184682|Metaviridae|Metavirus|Cladosporium_1,531,CM068577.1,Aedes_albopictus
CM068577.1:126427531-126429678|Metaviridae|Metavirus|Cladosporium_1,716,CM068577.1,Aedes_albopictus
CM068577.1:129120768-129122942|Metaviridae|Metavirus|Cladosporium_1,725,CM068577.1,Aedes_albopictus
CM068577.1:129583265-129585457|Metaviridae|Metavirus|Cladosporium_1,731,CM068577.1,Aedes_albopictus
CM068577.1:131832208-131832564|Metaviridae|Metavirus|Cladosporium_1,119,CM068577.1,Aedes_albopictus
CM068577.1:132151582-132153120|Metaviridae|Metavirus|Cladosporium_1,513,CM068577.1,Aedes_albopictus
CM068577.1:132161372-132163531|Metaviridae|Metavirus|Cladosporium_1,720,CM068577.1,Aedes_albopictus
CM068577.1:132806086-132807567|Metaviridae|Metavirus|Cladosporium_1,480,CM068577.1,Aedes_albopictus
CM068577.1:138029382-138030530|Metaviridae|Metavirus|Cladosporium_1,150,CM068577.1,Aedes_albopictus
CM068577.1:138029382-138030530|Metaviridae|Metavirus|Cladosporium_2,228,CM068577.1,Aedes_albopictus
CM068577.1:138141845-138143137|Metaviridae|Metavirus|Cladosporium_1,431,CM068577.1,Aedes_albopictus
CM068577.1:140046501-140046800|Metaviridae|Metavirus|Cladosporium_1,45,CM068577.1,Aedes_albopictus
CM068577.1:140566183-140568255|Metaviridae|Metavirus|Cladosporium_1,691,CM068577.1,Aedes_albopictus
CM068577.1:141523959-141525968|Metaviridae|Metavirus|Cladosporium_1,670,CM068577.1,Aedes_albopictus
CM068577.1:141720697-141722880|Metaviridae|Metavirus|Cladosporium_1,728,CM068577.1,Aedes_albopictus
CM068577.1:142216437-142218581|Metaviridae|Metavirus|Cladosporium_1,715,CM068577.1,Aedes_albopictus
CM068577.1:143516059-143518218|Metaviridae|Metavirus|Cladosporium_1,720,CM068577.1,Aedes_albopictus
CM068577.1:144618616-144620763|Metaviridae|Metavirus|Cladosporium_1,716,CM068577.1,Aedes_albopictus
CM068577.1:147256170-147258323|Metaviridae|Metavirus|Cladosporium_1,718,CM068577.1,Aedes_albopictus
CM068577.1:147426218-147428275|Metaviridae|Metavirus|Cladosporium_1,686,CM068577.1,Aedes_albopictus
CM068577.1:148081372-148083531|Metaviridae|Metavirus|Cladosporium_1,720,CM068577.1,Aedes_albopictus
CM068577.1:149929519-149931489|Metaviridae|Metavirus|Cladosporium_1,657,CM068577.1,Aedes_albopictus
CM068577.1:150101835-150102488|Metaviridae|Metavirus|Cladosporium_1,218,CM068577.1,Aedes_albopictus
CM068577.1:151721741-151723897|Metaviridae|Metavirus|Cladosporium_1,719,CM068577.1,Aedes_albopictus
CM068577.1:151733180-151735255|Metaviridae|Metavirus|Cladosporium_1,692,CM068577.1,Aedes_albopictus
CM068577.1:152477413-152478090|Metaviridae|Metavirus|Cladosporium_1,226,CM068577.1,Aedes_albopictus
CM068577.1:153816364-153816537|Metaviridae|Metavirus|Cladosporium_1,58,CM068577.1,Aedes_albopictus
CM068577.1:154186386-154188533|Metaviridae|Metavirus|Cladosporium_1,716,CM068577.1,Aedes_albopictus
CM068577.1:154570655-154572809|Metaviridae|Metavirus|Cladosporium_1,30,CM068577.1,Aedes_albopictus
CM068577.1:154570655-154572809|Metaviridae|Metavirus|Cladosporium_2,267,CM068577.1,Aedes_albopictus
CM068577.1:154570655-154572809|Metaviridae|Metavirus|Cladosporium_3,400,CM068577.1,Aedes_albopictus
CM068577.1:155439254-155441410|Metaviridae|Metavirus|Cladosporium_1,719,CM068577.1,Aedes_albopictus
CM068577.1:155743545-155745566|Metaviridae|Metavirus|Cladosporium_1,674,CM068577.1,Aedes_albopictus
CM068577.1:156217670-156219874|Metaviridae|Metavirus|Cladosporium_1,735,CM068577.1,Aedes_albopictus
CM068577.1:156704861-156706936|Metaviridae|Metavirus|Cladosporium_1,692,CM068577.1,Aedes_albopictus
CM068577.1:157731208-157733400|Metaviridae|Metavirus|Cladosporium_1,731,CM068577.1,Aedes_albopictus
CM068577.1:158316018-158316530|Metaviridae|Metavirus|Cladosporium_1,171,CM068577.1,Aedes_albopictus
CM068577.1:160081102-160083072|Metaviridae|Metavirus|Cladosporium_1,657,CM068577.1,Aedes_albopictus
CM068577.1:160863660-160865696|Metaviridae|Metavirus|Cladosporium_1,679,CM068577.1,Aedes_albopictus
CM068577.1:161841877-161844024|Metaviridae|Metavirus|Cladosporium_1,716,CM068577.1,Aedes_albopictus
CM068577.1:164190856-164192955|Metaviridae|Metavirus|Cladosporium_1,700,CM068577.1,Aedes_albopictus
CM068577.1:164541824-164543986|Metaviridae|Metavirus|Cladosporium_1,721,CM068577.1,Aedes_albopictus
CM068577.1:164670841-164673003|Metaviridae|Metavirus|Cladosporium_1,721,CM068577.1,Aedes_albopictus
CM068577.1:165010668-165012677|Metaviridae|Metavirus|Cladosporium_1,670,CM068577.1,Aedes_albopictus
CM068577.1:165101141-165103216|Metaviridae|Metavirus|Cladosporium_1,692,CM068577.1,Aedes_albopictus
CM068577.1:166544483-166546612|Metaviridae|Metavirus|Cladosporium_1,710,CM068577.1,Aedes_albopictus
CM068577.1:166867124-166869283|Metaviridae|Metavirus|Cladosporium_1,720,CM068577.1,Aedes_albopictus
CM068577.1:167050995-167051336|Metaviridae|Metavirus|Cladosporium_1,114,CM068577.1,Aedes_albopictus
CM068577.1:167890938-167891105|Metaviridae|Metavirus|Cladosporium_1,56,CM068577.1,Aedes_albopictus
CM068577.1:168310128-168311102|Metaviridae|Metavirus|Cladosporium_1,325,CM068577.1,Aedes_albopictus
CM068577.1:168634393-168636567|Metaviridae|Metavirus|Cladosporium_1,725,CM068577.1,Aedes_albopictus
CM068577.1:169781626-169783665|Metaviridae|Metavirus|Cladosporium_1,680,CM068577.1,Aedes_albopictus
CM068577.1:170336234-170338408|Metaviridae|Metavirus|Cladosporium_1,725,CM068577.1,Aedes_albopictus
CM068577.1:170766149-170767195|Metaviridae|Metavirus|Cladosporium_1,349,CM068577.1,Aedes_albopictus
CM068577.1:170803611-170803781|Metaviridae|Metavirus|Cladosporium_1,57,CM068577.1,Aedes_albopictus
CM068577.1:171296784-171299021|Metaviridae|Metavirus|Cladosporium_1,746,CM068577.1,Aedes_albopictus
CM068577.1:172525986-172526282|Metaviridae|Metavirus|Cladosporium_1,99,CM068577.1,Aedes_albopictus
CM068577.1:173019060-173019353|Metaviridae|Metavirus|Cladosporium_1,98,CM068577.1,Aedes_albopictus
CM068577.1:173049019-173049543|Metaviridae|Metavirus|Cladosporium_1,175,CM068577.1,Aedes_albopictus
CM068577.1:173504419-173506197|Metaviridae|Metavirus|Cladosporium_1,593,CM068577.1,Aedes_albopictus
CM068577.1:174337011-174337451|Metaviridae|Metavirus|Cladosporium_1,147,CM068577.1,Aedes_albopictus
CM068577.1:174440854-174442410|Metaviridae|Metavirus|Cladosporium_1,473,CM068577.1,Aedes_albopictus
CM068577.1:174645016-174647055|Metaviridae|Metavirus|Cladosporium_1,680,CM068577.1,Aedes_albopictus
CM068577.1:174716465-174717433|Metaviridae|Metavirus|Cladosporium_1,323,CM068577.1,Aedes_albopictus
CM068577.1:175070912-175073098|Metaviridae|Metavirus|Cladosporium_1,729,CM068577.1,Aedes_albopictus
CM068577.1:175752764-175753809|Metaviridae|Metavirus|Cladosporium_1,87,CM068577.1,Aedes_albopictus
CM068577.1:175752764-175753809|Metaviridae|Metavirus|Cladosporium_2,262,CM068577.1,Aedes_albopictus
CM068577.1:176109293-176111452|Metaviridae|Metavirus|Cladosporium_1,720,CM068577.1,Aedes_albopictus
CM068577.1:176225531-176227567|Metaviridae|Metavirus|Cladosporium_1,679,CM068577.1,Aedes_albopictus
CM068577.1:176356371-176358380|Metaviridae|Metavirus|Cladosporium_1,185,CM068577.1,Aedes_albopictus
CM068577.1:176356371-176358380|Metaviridae|Metavirus|Cladosporium_2,196,CM068577.1,Aedes_albopictus
CM068577.1:176356371-176358380|Metaviridae|Metavirus|Cladosporium_3,226,CM068577.1,Aedes_albopictus
CM068577.1:176633011-176633469|Metaviridae|Metavirus|Cladosporium_1,153,CM068577.1,Aedes_albopictus
CM068577.1:178242688-178244823|Metaviridae|Metavirus|Cladosporium_1,712,CM068577.1,Aedes_albopictus
CM068577.1:178863236-178864969|Metaviridae|Metavirus|Cladosporium_1,578,CM068577.1,Aedes_albopictus
CM068577.1:179262928-179263524|Metaviridae|Metavirus|Cladosporium_1,197,CM068577.1,Aedes_albopictus
CM068577.1:179851516-179853510|Metaviridae|Metavirus|Cladosporium_1,665,CM068577.1,Aedes_albopictus
CM068577.1:180083085-180083618|Metaviridae|Metavirus|Cladosporium_1,178,CM068577.1,Aedes_albopictus
CM068577.1:180305694-180306263|Metaviridae|Metavirus|Cladosporium_1,33,CM068577.1,Aedes_albopictus
CM068577.1:180305694-180306263|Metaviridae|Metavirus|Cladosporium_2,145,CM068577.1,Aedes_albopictus
CM068577.1:180741173-180743221|Metaviridae|Metavirus|Cladosporium_1,683,CM068577.1,Aedes_albopictus
CM068577.1:181313256-181315478|Metaviridae|Metavirus|Cladosporium_1,741,CM068577.1,Aedes_albopictus
CM068577.1:181768954-181771113|Metaviridae|Metavirus|Cladosporium_1,720,CM068577.1,Aedes_albopictus
CM068577.1:181904087-181906120|Metaviridae|Metavirus|Cladosporium_1,678,CM068577.1,Aedes_albopictus
CM068577.1:182402318-182403187|Metaviridae|Metavirus|Cladosporium_1,138,CM068577.1,Aedes_albopictus
CM068577.1:182402318-182403187|Metaviridae|Metavirus|Cladosporium_2,148,CM068577.1,Aedes_albopictus
CM068577.1:182403256-182403456|Metaviridae|Metavirus|Cladosporium_1,67,CM068577.1,Aedes_albopictus
CM068577.1:182518295-182520184|Metaviridae|Metavirus|Cladosporium_1,602,CM068577.1,Aedes_albopictus
CM068577.1:182518295-182520184|Metaviridae|Metavirus|Cladosporium_2,25,CM068577.1,Aedes_albopictus
CM068577.1:183951236-183953428|Metaviridae|Metavirus|Cladosporium_1,731,CM068577.1,Aedes_albopictus
CM068577.1:185186706-185188988|Metaviridae|Metavirus|Cladosporium_1,761,CM068577.1,Aedes_albopictus
CM068577.1:186960735-186962909|Metaviridae|Metavirus|Cladosporium_1,725,CM068577.1,Aedes_albopictus
CM068577.1:187678561-187680666|Metaviridae|Metavirus|Cladosporium_1,702,CM068577.1,Aedes_albopictus
CM068577.1:191436555-191438774|Metaviridae|Metavirus|Cladosporium_1,740,CM068577.1,Aedes_albopictus
CM068577.1:192132111-192134213|Metaviridae|Metavirus|Cladosporium_1,701,CM068577.1,Aedes_albopictus
CM068577.1:194356428-194358467|Metaviridae|Metavirus|Cladosporium_1,363,CM068577.1,Aedes_albopictus
CM068577.1:194356428-194358467|Metaviridae|Metavirus|Cladosporium_2,263,CM068577.1,Aedes_albopictus
CM068577.1:194391759-194393906|Metaviridae|Metavirus|Cladosporium_1,716,CM068577.1,Aedes_albopictus
CM068577.1:195084108-195084686|Metaviridae|Metavirus|Cladosporium_1,193,CM068577.1,Aedes_albopictus
CM068577.1:196724199-196725209|Metaviridae|Metavirus|Cladosporium_1,337,CM068577.1,Aedes_albopictus
CM068577.1:198506445-198508664|Metaviridae|Metavirus|Cladosporium_1,740,CM068577.1,Aedes_albopictus
CM068577.1:202293514-202294197|Metaviridae|Metavirus|Cladosporium_1,228,CM068577.1,Aedes_albopictus
CM068577.1:203706639-203708609|Metaviridae|Metavirus|Cladosporium_1,389,CM068577.1,Aedes_albopictus
CM068577.1:203706639-203708609|Metaviridae|Metavirus|Cladosporium_2,214,CM068577.1,Aedes_albopictus
CM068577.1:203982616-203982789|Metaviridae|Metavirus|Cladosporium_1,58,CM068577.1,Aedes_albopictus
CM068577.1:204998692-205000767|Metaviridae|Metavirus|Cladosporium_1,692,CM068577.1,Aedes_albopictus
CM068577.1:205805386-205807473|Metaviridae|Metavirus|Cladosporium_1,160,CM068577.1,Aedes_albopictus
CM068577.1:205805386-205807473|Metaviridae|Metavirus|Cladosporium_2,524,CM068577.1,Aedes_albopictus
CM068577.1:206756797-206758983|Metaviridae|Metavirus|Cladosporium_1,729,CM068577.1,Aedes_albopictus
CM068577.1:209219306-209220133|Metaviridae|Metavirus|Cladosporium_1,276,CM068577.1,Aedes_albopictus
CM068577.1:209848624-209850687|Metaviridae|Metavirus|Cladosporium_1,688,CM068577.1,Aedes_albopictus
CM068577.1:210925143-210927296|Metaviridae|Metavirus|Cladosporium_1,718,CM068577.1,Aedes_albopictus
CM068577.1:211049538-211051694|Metaviridae|Metavirus|Cladosporium_1,719,CM068577.1,Aedes_albopictus
CM068577.1:211697804-211698397|Metaviridae|Metavirus|Cladosporium_1,60,CM068577.1,Aedes_albopictus
CM068577.1:211697804-211698397|Metaviridae|Metavirus|Cladosporium_2,102,CM068577.1,Aedes_albopictus
CM068577.1:212733135-212735231|Metaviridae|Metavirus|Cladosporium_1,699,CM068577.1,Aedes_albopictus
CM068577.1:213965710-213966984|Metaviridae|Metavirus|Cladosporium_1,425,CM068577.1,Aedes_albopictus
CM068577.1:214543905-214545986|Metaviridae|Metavirus|Cladosporium_1,460,CM068577.1,Aedes_albopictus
CM068577.1:214543905-214545986|Metaviridae|Metavirus|Cladosporium_2,218,CM068577.1,Aedes_albopictus
CM068577.1:216226909-216229047|Metaviridae|Metavirus|Cladosporium_1,713,CM068577.1,Aedes_albopictus
CM068577.1:216547573-216549117|Metaviridae|Metavirus|Cladosporium_1,515,CM068577.1,Aedes_albopictus
CM068577.1:216839684-216839857|Metaviridae|Metavirus|Cladosporium_1,58,CM068577.1,Aedes_albopictus
CM068577.1:217582095-217584287|Metaviridae|Metavirus|Cladosporium_1,731,CM068577.1,Aedes_albopictus
CM068577.1:217667269-217669335|Metaviridae|Metavirus|Cladosporium_1,671,CM068577.1,Aedes_albopictus
CM068577.1:217771338-217771487|Metaviridae|Metavirus|Cladosporium_1,50,CM068577.1,Aedes_albopictus
CM068577.1:217771495-217771707|Metaviridae|Metavirus|Cladosporium_1,71,CM068577.1,Aedes_albopictus
CM068577.1:218897334-218899382|Metaviridae|Metavirus|Cladosporium_1,683,CM068577.1,Aedes_albopictus
CM068577.1:219799175-219801385|Metaviridae|Metavirus|Cladosporium_1,737,CM068577.1,Aedes_albopictus
CM068577.1:219851353-219853503|Metaviridae|Metavirus|Cladosporium_1,717,CM068577.1,Aedes_albopictus
CM068577.1:222295473-222296084|Metaviridae|Metavirus|Cladosporium_1,204,CM068577.1,Aedes_albopictus
CM068577.1:222718698-222720713|Metaviridae|Metavirus|Cladosporium_1,632,CM068577.1,Aedes_albopictus
CM068577.1:224363242-224363871|Metaviridae|Metavirus|Cladosporium_1,76,CM068577.1,Aedes_albopictus
CM068577.1:224662907-224664334|Metaviridae|Metavirus|Cladosporium_1,476,CM068577.1,Aedes_albopictus
CM068577.1:225007441-225009711|Metaviridae|Metavirus|Cladosporium_1,757,CM068577.1,Aedes_albopictus
CM068577.1:226237561-226239648|Metaviridae|Metavirus|Cladosporium_1,696,CM068577.1,Aedes_albopictus
CM068577.1:226571582-226571863|Metaviridae|Metavirus|Cladosporium_1,94,CM068577.1,Aedes_albopictus
CM068577.1:226571923-226573803|Metaviridae|Metavirus|Cladosporium_1,627,CM068577.1,Aedes_albopictus
CM068577.1:227039511-227041784|Metaviridae|Metavirus|Cladosporium_1,93,CM068577.1,Aedes_albopictus
CM068577.1:227039511-227041784|Metaviridae|Metavirus|Cladosporium_2,435,CM068577.1,Aedes_albopictus
CM068577.1:227039511-227041784|Metaviridae|Metavirus|Cladosporium_3,171,CM068577.1,Aedes_albopictus
CM068577.1:227039511-227041784|Metaviridae|Metavirus|Cladosporium_4,36,CM068577.1,Aedes_albopictus
CM068577.1:229557695-229557928|Metaviridae|Metavirus|Cladosporium_1,78,CM068577.1,Aedes_albopictus
CM068577.1:232654102-232656261|Metaviridae|Metavirus|Cladosporium_1,720,CM068577.1,Aedes_albopictus
